交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,新竹市新竹市中山路31~60號,1050525,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),1,174.62,3,2,2,有,有,18000000,114027,1400000,035
房地(土地+建物)+車位,中山路31~60號,1100125,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),5,174.62,3,2,2,有,有,19000000,108808,0,035
房地(土地+建物),新竹市新竹市民族路67巷1~30號,1060225,土地2建物1車位0,全,三層,透天厝,0,140.19,4,2,3,有,無,12800000,91305,0,036
房地(土地+建物),民族路67巷1~30號,1100125,土地2建物1車位0,全,三層,透天厝,-1,140.19,4,2,3,有,無,14500000,103431,0,036
房地(土地+建物),新竹市新竹市中山路319巷25弄1~30號,1081124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),39,87.98,3,2,1,有,無,2450000,27847,0,037
房地(土地+建物),中山路319巷25弄1~30號,1100124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),40,87.98,3,2,1,有,無,3500000,39782,0,037
房地(土地+建物),新竹市新竹市至善街31巷1~30號,1061027,土地2建物1車位0,七層,十層,套房(1房1廳1衛),19,31.79,1,0,1,有,有,550000,17301,0,038
房地(土地+建物),至善街31巷1~30號,1090927,土地2建物1車位0,七層,十層,華廈(10層含以下有電梯),22,31.79,1,1,1,有,有,560000,17616,0,038
房地(土地+建物),至善街31巷1~30號,1100227,土地2建物1車位0,七層,十層,華廈(10層含以下有電梯),23,31.79,1,0,1,有,有,580000,18245,0,038
房地(土地+建物),新竹市新竹市民權路108巷1~30號,1020317,土地1建物1車位0,一層,五層,套房(1房1廳1衛),6,33.5,1,1,1,有,無,1180000,35224,0,039
房地(土地+建物),民權路108巷1~30號,1100317,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),14,33.5,1,1,1,有,有,1200000,35821,0,039
房地(土地+建物)+車位,新竹市新竹市武陵路271巷1~30號,1070727,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),21,122.86,3,2,2,有,有,6530000,53150,0,040
房地(土地+建物)+車位,武陵路271巷1~30號,1100227,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),24,122.86,3,2,2,有,有,6800000,55348,0,040
土地,南寮段361~390地號,1080819,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,12000000,51443,0,041
土地,南寮段361~390地號,1100119,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,13400000,57444,0,041
房地(土地+建物)+車位,新竹市新竹市中華路一段301~330號,1031101,土地1建物1車位2,四層,十二層,住宅大樓(11層含以上有電梯),0,218.94,3,2,2,有,無,11900000,54353,2390000,042
房地(土地+建物)+車位,中華路一段301~330號,1100301,土地1建物1車位2,四層,十二層,住宅大樓(11層含以上有電梯),6,218.94,3,2,2,有,有,15100000,68969,0,042
房地(土地+建物)+車位,新竹市新竹市武陵路271巷31弄1~30號,1030704,土地3建物1車位1,三層,七層,華廈(10層含以下有電梯),22,140.42000000000002,3,2,2,有,有,5500000,39168,0,043
房地(土地+建物)+車位,新竹市新竹市武陵路271巷31弄1~30號,1031204,土地3建物1車位1,三層,七層,華廈(10層含以下有電梯),22,140.42000000000002,4,2,2,有,有,6980000,49708,0,043
房地(土地+建物)+車位,武陵路271巷31弄1~30號,1100304,土地3建物1車位1,三層,七層,華廈(10層含以下有電梯),28,140.42000000000002,4,2,2,有,無,7450000,53055,0,043
房地(土地+建物)+車位,新竹市新竹市經國路三段92巷16弄31~60號,1020825,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),0,147.26999999999998,3,2,2,有,有,6450000,43797,0,044
房地(土地+建物)+車位,新竹市新竹市經國路三段92巷16弄31~60號,1021125,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),1,147.26999999999998,3,2,2,有,有,7700000,52285,0,044
房地(土地+建物)+車位,經國路三段92巷16弄31~60號,1100225,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),8,147.26999999999998,3,2,2,有,有,9350000,63489,0,044
房地(土地+建物),新竹市新竹市大學路81巷31~60號,1040301,土地1建物1車位0,五層,五層,套房(1房1廳1衛),18,31.380000000000003,1,1,1,有,無,2480000,79031,0,046
房地(土地+建物),大學路81巷31~60號,1100301,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),24,31.380000000000003,1,0,1,有,有,2600000,82855,0,046
