編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLLMLHGGFAI38DA,26,6.20,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPXOMLLMLHGGFAI38DA,26,4.76,共有部份,鋼筋混凝土造,84年7月24日,十四層,
RPOPMLLMLHGGFAI57DA,,300.79,見其他登記事項,見其他登記事項,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPUOMLQJMHGGFAI48EA,,368.22,見其他登記事項,見其他登記事項,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPROMLRJMHGGFAI28EA,44,150.53,住家用,鋼筋混凝土加強磚造,66年7月20日,二層,一層 二層
RPROMLQJMHGGFAI08DA,,115.61,見其他登記事項,見其他登記事項,109年12月8日,四層,一層 二層 三層 四層
RPROMLQJMHGGFAI08DA,,115.61,見其他登記事項,見其他登記事項,109年12月8日,四層,一層 二層 三層 四層
RPWOMLQJMHGGFAI58DA,28,109.64,住家用,鋼筋混凝土造,81年11月17日,七層,四層
RPWOMLQJMHGGFAI58DA,28,32.20,共有部份,鋼筋混凝土造,81年11月17日,七層,
RPSNMLQJMHGGFAI18EA,16,103.08,住家用,鋼筋混凝土造,93年11月3日,十四層,十二層
RPSNMLQJMHGGFAI18EA,16,66.24,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPPNMLQJMHGGFAI77DA,28,115.48,見其他登記事項,鋼筋混凝土造,82年7月2日,五層,五層
RPPNMLQJMHGGFAI77DA,28,9.26,共有部份,鋼筋混凝土造,82年7月2日,五層,
RPPNMLQJMHGGFAI77DA,28,4.93,共有部份,鋼筋混凝土造,82年7月2日,五層,
RPQNMLQJMHGGFAI87DA,43,101.64,住家用,鋼筋混凝土加強磚造,67年4月3日,二層,一層 二層
RPQOMLTLLHGGFAI38DA,,212.90,見其他登記事項,見其他登記事項,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPRNMLRJMHGGFAI08DA,32,220.24,住商用,鋼筋混凝土造,77年11月8日,四層,一層 二層 三層 四層
RPXNMLLMLHGGFAI28DA,17,82.97,住家用,鋼筋混凝土造,83年2月3日,十二層,十層
