編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLOJLHGGFAE77CC,16,25.44,共有部分,鋼筋混凝土造,93年11月4日,十四層,
RPVOMLOJLHGGFDE18CC,44,241.20,,鋼筋混凝土造,66年7月21日,四層,
RPXOMLOJLHGGFCE28CC,3,76.89,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPXOMLOJLHGGFCE28CC,3,22.92,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPXOMLOJLHGGFCE28CC,3,45.19,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPVPMLOJLHGGFAE97CC,47,195.62,住商用,加強磚造,62年9月27日,三層,
RPRQMLOJLHGGFFE18CC,1,2383.35,作業廠房,鋼鐵構造,109年3月27日,一層,
RPVOMLOJLHGGFBE97CC,2,76.99,見其他登記事項,鋼筋混凝土造,107年8月8日,十五層,
RPVOMLOJLHGGFBE97CC,2,41.48,共有部分,鋼筋混凝土造,107年8月8日,十五層,
RPTOMLOJLHGGFBE77CC,29,189.93,商業用,鋼筋混凝土造,81年6月29日,二十五層,
RPWOMLOJLHGGFEE38CC,31,68.56,見其它登記事項,鋼筋混凝土造,79年3月26日,十九層,
RPTQMLOJLHGGFEE28CC,10,52.62,住家用,鋼筋混凝土造,100年7月14日,十三層,
RPTQMLOJLHGGFEE28CC,10,24.62,見其它登記事項,鋼筋混凝土造,100年7月14日,十三層,
RPVPMLOJLHGGFEE38CC,25,28.48,住商用,鋼筋混凝土造,85年3月4日,七層,
RPVPMLOJLHGGFEE38CC,25,43.28,住商用,鋼筋混凝土造,85年3月4日,七層,
RPVPMLOJLHGGFEE38CC,25,14.40,住商用,鋼筋混凝土造,85年3月4日,七層,
RPVPMLOJLHGGFEE38CC,25,9.87,住商用,鋼筋混凝土造,85年3月4日,七層,
RPVPMLOJLHGGFEE38CC,25,16.34,見使用執照,鋼筋混凝土造,85年3月4日,七層,
RPXOMLPJLHGGFGE78CC,6,48.86,見其他登記事項,鋼筋混凝土造,103年10月13日,十五層,
RPXNMLPJLHGGFEE48CC,2,78.93,見其它登記事項,見其它登記事項,108年4月17日,十四層,
RPXNMLPJLHGGFEE48CC,2,72.25,見其它登記事項,見其它登記事項,108年4月17日,十四層,
RPSNMLPJLHGGFGE18CC,40,81.40,住商用,鋼筋混凝土造,69年10月15日,四層,
RPWNMLPJLHGGFBE08CC,31,59.53,,鋼筋混凝土造,78年11月9日,十二層,
RPQOMLPJLHGGFEE87CC,45,74.00,,加強磚造,65年7月27日,二層,
RPQOMLPJLHGGFAE47CC,54,164.93,住商用,鋼筋混凝土造,56年3月30日,六層,
RPWNMLPJLHGGFDE28CC,25,69.14,住家用,鋼筋混凝土造,85年7月19日,二十四層,
RPWNMLPJLHGGFDE28CC,25,54.31,見使用執照,鋼筋混凝土造,85年7月19日,二十四層,
RPWNMLPJLHGGFCE18CC,24,48.12,住家用,鋼筋混凝土造,86年2月4日,八層,
RPOOMLPJLHGGFDE57CC,44,114.30,,鋼筋混凝土造,66年8月2日,三層,
RPUNMLPJLHGGFDE08CC,55,183.33,住商用,加強磚造,55年5月28日,三層,
RPQNMLQJLHGGFDE77CC,47,19.01,,加強磚造,62年12月24日,三層,
RPSNMLQJLHGGFDE97CC,47,19.01,,加強磚造,62年12月24日,三層,
RPOOMLPJLHGGFCE47CC,3,76.89,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPOOMLPJLHGGFCE47CC,3,22.92,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPOOMLPJLHGGFCE47CC,3,20.33,見其它登記事項,見其它登記事項,107年6月20日,十六層,
RPWPMLPJLHGGFCE38CC,15,84.22,住家用,鋼筋混凝土造,95年3月14日,十四層,
RPWPMLPJLHGGFCE38CC,15,60.81,共有部份,鋼筋混凝土造,95年3月14日,十四層,
RPUNMLQJLHGGFCE08CC,24,64.12,住家用,鋼筋混凝土造,86年5月27日,二十七層,
RPUNMLQJLHGGFCE08CC,24,20.95,見使用執照,鋼筋混凝土造,86年5月27日,二十七層,
RPTNMLQJLHGGFCE97CC,4,129.32,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPTNMLQJLHGGFCE97CC,4,83.14,見其它登記事項,鋼筋混凝土造,106年6月8日,十八層,
RPTNMLQJLHGGFDE08CC,47,19.01,,加強磚造,62年12月24日,三層,
RPPNMLQJLHGGFDE67CC,16,19.73,住家用,鋼筋混凝土造,94年1月13日,五層,
RPPNMLQJLHGGFDE67CC,16,12.48,見使用執照,鋼筋混凝土造,94年1月13日,五層,
RPUNMLQJLHGGFDE18CC,41,17.15,,鋼筋混凝土造,69年2月11日,四層,
RPVNMLQJLHGGFDE28CC,47,45.85,,加強磚造,62年12月17日,三層,
RPWNMLQJLHGGFDE38CC,8,172.54,住商用,鋼筋混凝土造,102年4月1日,五層,
RPRNMLQJLHGGFAE57CC,19,46.64,住家用,鋼筋混凝土造,91年6月18日,二十二層,
RPRNMLQJLHGGFAE57CC,19,21.84,共有部分,鋼筋混凝土造,91年6月18日,二十二層,
RPQNMLQJLHGGFAE47CC,8,54.99,住家用,鋼筋混凝土造,101年9月26日,十五層,
RPQNMLQJLHGGFAE47CC,8,26.34,見其它登記事項,鋼筋混凝土造,101年9月26日,十五層,
