編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLTLLHGGFBG58DA,12,36.34,辦公室,鋼筋混凝土造,97年12月31日,十三層,十二層
RPTOMLTLLHGGFBG58DA,12,24.99,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPTOMLTLLHGGFBG58DA,12,6.34,共有部分,鋼筋混凝土造,97年12月31日,十三層,
RPOOMLLMLHGGFAG27DA,26,114.36,住家用,鋼筋混凝土造,83年12月9日,五層,五層
RPOOMLLMLHGGFAG27DA,26,3.91,共同使用部份．蓄水池．突出物,鋼筋混凝土造,83年12月9日,五層,
RPPNMLLMLHGGFAG27DA,5,163.89,住家用,鋼筋混凝土造,105年1月26日,三層,一層 二層 三層
RPROMLLMLHGGFAG57DA,2,57.97,集合住宅,鋼筋混凝土造,108年1月22日,十層,八層
RPROMLLMLHGGFAG57DA,2,64.62,本共有部分之項目有停車空間、機電設備、緊急昇降機間、排煙室、安全梯、防空避難室兼停車空間、管委會使用空間、門廳、戶外安全梯、昇降設備、梯廳、特別安全梯、機械室、水錶室、水箱、垃圾儲藏室、車道等１７項。,鋼筋混凝土造,108年1月22日,十層,
RPPNMLLJMHGGFAG07DA,78,44.50,住家用,木造,32年5月1日,一層,一層
RPTOMLLMLHGGFAG77DA,7,248.46,農舍,鋼筋混凝土造,103年5月27日,三層,一層 二層 三層
RPRNMLLJMHGGFAG27DA,28,160.11,住家用,鋼筋混凝土造,81年11月20日,三層,一層 二層 三層
RPPOMLTLLHGGFAG08DA,40,105.52,住家用,鋼筋混凝土加強磚造,70年7月28日,二層,一層 二層 騎樓
RPVNMLTLLHGGFAG58DA,26,140.47,鄉村住宅,鋼筋混凝土造,84年5月11日,三層,一層 二層 三層
RPPPMLQLLHGGFAG87DA,28,41.28,住家用,鋼筋混凝土造,82年7月23日,六層,三層
RPPPMLQLLHGGFAG87DA,28,13.54,防空避難室、停車場,鋼筋混凝土造,82年7月23日,,
RPROMLQLLHGGFAG97DA,28,83.55,住家用,鋼筋混凝土造,82年4月29日,五層,四層
RPROMLQLLHGGFAG97DA,28,3.65,共有部份,鋼筋混凝土造,82年4月29日,五層,
RPPOMLNJLHGGFAG27DA,3,56.88,集合住宅,鋼筋混凝土造,107年3月23日,四層,二層
RPPOMLNJLHGGFAG27DA,3,16.34,本共有部分之項目有門廊、樓梯間等２項。,鋼筋混凝土造,107年3月23日,四層,
RPWOMLNJLHGGFAG97DA,,200.59,住家用,鋼筋混凝土造,109年11月30日,三層,一層 二層 三層
RPTOMLLKLHGGFAG57DA,24,5.41,防空避難室、停車場、通道．共同使用部份,鋼筋混凝土造,85年11月9日,十三層,
RPTOMLLKLHGGFAG57DA,24,9.55,梯間﹙共同使用部份﹚,鋼筋混凝土造,85年11月9日,十三層,
RPTOMLLKLHGGFAG57DA,24,51.73,住家用,鋼筋混凝土造,85年11月9日,十三層,十層
RPPNMLQJLHGGFAG47DA,1,78.54,停車空間、住宅,鋼筋混凝土造,109年3月20日,三層,一層 二層 三層
RPPNMLQJLHGGFAG47DA,1,78.54,停車空間、住宅,鋼筋混凝土造,109年3月20日,三層,一層 二層 三層
RPWNMLPKLHGGFAG18DA,26,40.46,住家用,鋼筋混凝土造,84年6月29日,十層,三層
RPWNMLPKLHGGFAG18DA,26,3.46,樓梯間通道共同使用,鋼筋混凝土造,84年6月29日,十層,
RPWNMLPKLHGGFAG18DA,26,5.48,防空避難室共同使用,鋼筋混凝土造,84年6月29日,十層,
RPSNMLNLLHGGFAG67DA,29,59.26,住家用,鋼筋混凝土造,81年8月24日,五層,四層
