編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLLKLHGGFCD17DA,,86.90,見其他登記事項,見其他登記事項,109年11月23日,十五層,六層
RPOQMLLKLHGGFCD17DA,,75.49,見其他登記事項,見其他登記事項,109年11月23日,十五層,
RPWNMLRKLHGGFCD28DA,,62.23,見其他登記事項,見其他登記事項,109年11月23日,十五層,十一層
RPWNMLRKLHGGFCD28DA,,63.22,見其他登記事項,見其他登記事項,109年11月23日,十五層,
RPXNMLRKLHGGFCD38DA,,62.23,見其他登記事項,見其他登記事項,109年11月23日,十五層,十二層
RPXNMLRKLHGGFCD38DA,,63.22,見其他登記事項,見其他登記事項,109年11月23日,十五層,
RPOOMLRKLHGGFCD57DA,,67.42,見其他登記事項,見其他登記事項,109年11月23日,十五層,十四層
RPOOMLRKLHGGFCD57DA,,65.75,見其他登記事項,見其他登記事項,109年11月23日,十五層,
RPQNMLQJMHGGFCD57DA,42,69.10,住家用,加強磚造,68年5月17日,二層,一層 二層
RPPOMLRKLHGGFCD67DA,,53.99,見其他登記事項,見其他登記事項,109年11月23日,十五層,十一層
RPPOMLRKLHGGFCD67DA,,53.99,見其他登記事項,見其他登記事項,109年11月23日,十五層,十一層
RPPOMLRKLHGGFCD67DA,,59.68,見其他登記事項,見其他登記事項,109年11月23日,十五層,
RPPOMLRKLHGGFCD67DA,,59.68,見其他登記事項,見其他登記事項,109年11月23日,十五層,
RPUOMLQJMHGGFCD08DA,47,74.14,住家用,加強磚造,62年12月10日,二層,一層 二層
RPWNMLRJMHGGFCD28DA,28,55.39,住家用,鋼筋混凝土造,82年6月9日,十六層,十層
RPWNMLRJMHGGFCD28DA,28,10.62,共有部分,鋼筋混凝土造,82年6月9日,十六層,
RPWNMLRJMHGGFCD28DA,28,7.32,共有部分,鋼筋混凝土造,82年6月9日,十六層,
RPROMLQJMHGGFCD77DA,36,54.59,住家用,鋼筋混凝土造,73年11月13日,五層,三層
RPROMLQJMHGGFCD77DA,36,13.54,共有部分,鋼筋混凝土造,73年11月13日,五層,
RPVNMLQJMHGGFCD08DA,42,77.70,住家用,加強磚造,67年10月27日,二層,一層 二層
RPQOMLRJMHGGFDD87DA,27,115.57,住家用,鋼筋混凝土造,83年2月4日,八層,七層 八層
RPQOMLRJMHGGFDD87DA,27,29.31,共有部分,鋼筋混凝土造,83年2月4日,八層,
RPSQMLSJMHGGFCD28DA,23,65.19,住家用,鋼筋混凝土造,86年9月19日,二十五層,六層
RPSQMLSJMHGGFCD28DA,23,83.42,住家用,鋼筋混凝土造,86年9月19日,二十五層,六層
RPSQMLSJMHGGFCD28DA,23,58.21,共有部分,鋼筋混凝土造,86年9月19日,二十五層,
RPSQMLSJMHGGFCD28DA,23,26.88,共有部分,鋼筋混凝土造,86年9月19日,二十五層,
RPUPMLRJMHGGFCD28DA,23,30.61,見其他登記事項,鋼筋混凝土造,87年5月26日,十四層,七層
RPUPMLRJMHGGFCD28DA,23,30.61,見其他登記事項,鋼筋混凝土造,87年5月26日,十四層,七層
RPUPMLRJMHGGFCD28DA,23,9.44,共有部分,鋼筋混凝土造,87年5月26日,十四層,
RPUPMLRJMHGGFCD28DA,23,9.44,共有部分,鋼筋混凝土造,87年5月26日,十四層,
RPUPMLRJMHGGFCD28DA,23,3.77,共有部分,鋼筋混凝土造,87年5月26日,十四層,
RPUPMLRJMHGGFCD28DA,23,3.77,共有部分,鋼筋混凝土造,87年5月26日,十四層,
RPUPMLRJMHGGFCD28DA,23,9.75,共有部分,鋼筋混凝土造,87年5月26日,十四層,
RPUPMLRJMHGGFCD28DA,23,9.75,共有部分,鋼筋混凝土造,87年5月26日,十四層,
RPSNMLSJMHGGFDD08DA,28,178.78,住商用,鋼筋混凝土造,82年9月2日,三層,一層 二層 三層 屋頂突出物
RPTOMLRJMHGGFDD18DA,51,104.32,住家用,鋼筋混凝土造,,三層,一層 二層 三層 騎樓
RPPNMLTJMHGGFDD87DA,27,177.63,住家用,鋼筋混凝土造,82年11月17日,三層,一層 二層 三層 屋頂突出物
RPQNMLQJMHGGFFD87DA,1,164.22,住家用,見其他登記事項,108年11月20日,三層,一層 二層 三層 見其他登記事項
RPUOMLQJMHGGFGD48DA,2,121.22,住家用,鋼筋混凝土造,107年9月21日,四層,一層 二層 三層 四層 屋頂突出物
RPUOMLQJMHGGFGD48DA,2,121.22,住家用,鋼筋混凝土造,107年9月21日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLPKLHGGFHD68DA,,58.40,見其他登記事項,鋼筋混凝土造,109年12月29日,七層,二層
RPXNMLPKLHGGFHD68DA,,20.40,見其他登記事項,鋼筋混凝土造,109年12月29日,七層,
RPVOMLLKLHGGFHD18DA,,220.39,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層 見其他登記事項
RPSPMLLKLHGGFHD97DA,,220.39,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層 見其他登記事項
RPSOMLLKLHGGFHD87DA,,223.06,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLSJLHGGFHD58DA,28,89.22,住商用,鋼筋混凝土造,82年3月23日,四層,一層 二層 三層 四層 騎樓
RPUNMLSJLHGGFHD58DA,28,89.22,住商用,鋼筋混凝土造,82年3月23日,四層,一層 二層 三層 四層 騎樓
RPWOMLRJMHGGFGD78DA,3,181.42,見其他登記事項,鋼筋混凝土造,107年8月30日,四層,一層 二層 三層 四層 屋頂突出物
RPWOMLRJMHGGFGD78DA,3,13.74,見其他登記事項,鋼筋混凝土造,107年8月30日,一層,
RPPNMLSJMHGGFGD08DA,26,318.60,住商用,鋼筋混凝土造,84年4月8日,四層,一層 二層 三層 四層
RPWSMLOJJHGGFHD68DA,,70.55,見其他登記事項,鋼筋混凝土造,109年9月16日,十二層,五層
RPWSMLOJJHGGFHD68DA,,62.97,見其他登記事項,鋼筋混凝土造,109年9月16日,十二層,
RPPWMLOJJHGGFHD38DA,,70.55,見其他登記事項,鋼筋混凝土造,109年9月16日,十二層,四層
RPPWMLOJJHGGFHD38DA,,62.97,見其他登記事項,鋼筋混凝土造,109年9月16日,十二層,
RPOOMLOKJHGGFHD57DA,,241.56,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層
RPXNMLOKJHGGFHD38DA,,227.83,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層
RPRPMLOKJHGGFHD97DA,,220.39,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLOKJHGGFHD77DA,,114.22,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層
RPQOMLOKJHGGFHD77DA,,114.22,住家用,鋼筋混凝土造,109年10月21日,四層,一層 二層 三層 四層
RPWNMLPLLHGGFHD68DA,,56.04,見其他登記事項,鋼筋混凝土造,109年12月29日,七層,四層
RPWNMLPLLHGGFHD68DA,,20.40,見其他登記事項,鋼筋混凝土造,109年12月29日,七層,
RPXNMLPLLHGGFHD78DA,,75.44,見其他登記事項,鋼筋混凝土造,109年12月29日,七層,四層
RPXNMLPLLHGGFHD78DA,,40.80,見其他登記事項,鋼筋混凝土造,109年12月29日,七層,
RPVOMLLMLHGGFHD38DA,5,152.94,住家用,鋼筋混凝土造,105年4月7日,四層,一層 二層 三層 四層
RPTNMLRJMHGGFHD48DA,,133.60,見其他登記事項,鋼筋混凝土造,110年1月13日,四層,一層 二層 三層 四層 騎樓
RPTNMLRJMHGGFHD48DA,,133.60,見其他登記事項,鋼筋混凝土造,110年1月13日,四層,一層 二層 三層 四層 騎樓
RPSOMLRJMHGGFID58DA,14,8.04,見其他登記事項,鋼筋混凝土造,96年9月20日,四層,一層
RPSOMLRJMHGGFID58DA,14,1.01,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPSOMLRJMHGGFID58DA,14,5.10,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPSNMLSJLHGGFID48DA,41,111.39,住家用,加強磚造,69年3月6日,二層,一層 二層 騎樓 電梯樓梯間
RPOOMLRJMHGGFHD08DA,2,198.73,見其他登記事項,鋼筋混凝土造,107年12月25日,四層,一層 二層 三層 四層
RPRNMLSKLHGGFJD58DA,25,114.75,住家用,加強磚造,85年1月10日,二層,一層 二層
RPXNMLQJMHGGFID88DA,,195.19,見其他登記事項,見其他登記事項,109年11月2日,四層,一層 二層 三層 四層
RPROMLQJMHGGFID38DA,30,92.54,住家用,鋼筋混凝土造,79年9月27日,五層,五層
RPROMLQJMHGGFID38DA,30,7.32,共有部分,鋼筋混凝土造,79年9月27日,五層,
RPQNMLRJMHGGFID28DA,29,6.03,共有部分,鋼筋混凝土造,81年8月12日,五層,
RPQNMLRJMHGGFID28DA,29,79.08,住家用,鋼筋混凝土造,81年8月12日,五層,五層
RPQNMLRJMHGGFID28DA,29,10.86,共有部分,鋼筋混凝土造,81年8月12日,五層,
RPTNMLPLLHGGFKD68DA,1,235.07,見其他登記事項,見其他登記事項,108年9月22日,四層,一層 二層 三層 四層
RPWOMLLJMHGGFKD58DA,34,125.37,住家用,鋼筋混凝土造,76年6月17日,二層,一層 二層 騎樓
RPUSMLSJLHGGFKD76DA,26,27.46,共有部分,鋼筋混凝土造,83年10月20日,十二層,
RPUSMLSJLHGGFKD76DA,26,91.67,住家用,鋼筋混凝土造,83年10月6日,十二層,十層
RPXOMLQLLHGGFKD66DA,29,196.23,住家用,鋼筋混凝土造,81年4月27日,四層,一層 二層 三層 四層
RPRPMLQJMHGGFKD68DA,2,50.62,住家用,見其他登記事項,107年12月14日,十八層,十層
