鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,建物,新北市新莊區化成路293巷1~30號,0.0,工,,,1100226,土地0建物1車位0,見其他登記事項,2,工廠,工業用,鋼筋混凝土造,0691122,205.62,0,0,0,無,無,無,62578,,,0.0,0,自簽約日110年2月26日至110年3月31日止，為廠區搬遷免租期。,RPXOMLSJLHGGFBF68CC
五股區,建物,新北市五股區芳洲五路61~90號,0.0,住,,,1100224,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1021014,121.24000000000001,3,2,2,有,有,有,20000,165,,0.0,0,,RPRRMLSJLHGGFBF38CC
汐止區,建物,新北市汐止區工建路31~60號,0.0,住,,,1100220,土地0建物1車位0,五層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880301,42.980000000000004,1,1,1,有,有,有,14000,326,,0.0,0,,RPQOMLSJLHGGFDF18CC
汐止區,建物,新北市汐止區汐萬路二段66巷130弄1~30號,0.0,,鄉村區,乙種建築用地,1100305,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0710220,99.4,5,2,4,有,有,有,18000,181,,0.0,0,,RPTOMLSJLHGGFDF48CC
汐止區,建物,新北市汐止區樟樹二路330巷1~30號,0.0,住,,,1100209,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880111,90.21000000000001,3,2,2,有,有,有,17000,188,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為18889，因為新北市計畫租金上限為36000，選擇代租方案須打九折，實際租賃契約金額為17000,RPVPMLSJLHGGFDF78CC
汐止區,房地(土地+建物),新北市汐止區新臺五路二段181~210號,6.25,住,,,1100224,土地2建物1車位0,二十八層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,121.77,3,2,2,有,有,無,15000,123,,0.0,0,,RPQQMLSJLHGGFDF38CC
土城區,建物,新北市土城區中央路二段181~210號,10.1,商,,,1100208,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850203,115.05,3,2,2,有,有,有,20000,174,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；,RPQQMLSJLHGGFAF08CC
板橋區,建物,新北市板橋區東門街1~30號,0.0,商,,,1100208,土地0建物1車位0,五層,12,辦公商業大樓,商業用,鋼筋混凝土造,0770722,851.87,0,0,0,無,有,無,170000,200,,0.0,0,租期110/02/08日起至122/02/28日止.,RPORMLSJLHGGFAF97CC
板橋區,建物,新北市板橋區東門街1~30號,0.0,商,,,1100208,土地0建物2車位0,五層,12,辦公商業大樓,商業用,鋼筋混凝土造,0770722,501.78999999999996,0,0,0,無,有,無,100000,199,,0.0,0,,RPPRMLSJLHGGFAF08CC
板橋區,建物,新北市板橋區雙十路二段47巷1~30號,0.0,住,,,1100209,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,81.62,3,2,1,有,無,有,23000,282,,0.0,0,,RPTRMLSJLHGGFAF48CC
板橋區,建物,新北市板橋區光華街24巷1~30號,0.0,住,,,1100303,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741224,107.4,3,1,2,有,無,有,17500,163,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為19526，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額17500。,RPRQMLTJLHGGFAF28CC
板橋區,建物,新北市板橋區重慶路346巷1~30號,0.0,商,,,1100302,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080604,89.63,2,2,1,有,有,有,14500,162,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為28205，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為14500。,RPVQMLTJLHGGFAF68CC
板橋區,建物,新北市板橋區重慶路346巷1~30號,0.0,商,,,1100302,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080604,109.05000000000001,3,2,2,有,有,有,19000,174,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為31397，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為19000。,RPPRMLTJLHGGFAF18CC
板橋區,建物,新北市板橋區中正路250巷1~30號,0.0,住,,,1100226,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0640131,58.8,2,2,1,有,無,有,16000,272,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為20352，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為16000。,RPURMLTJLHGGFAF68CC
板橋區,建物,新北市板橋區重慶路346巷1~30號,0.0,商,,,1100226,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080604,89.63,2,2,1,有,有,有,15500,173,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為32315，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為15500。,RPOSMLTJLHGGFAF18CC
土城區,建物,新北市土城區清水路85巷3弄1~30號,0.0,商,,,1100226,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701128,76.51,2,1,1,有,無,有,10000,131,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為13282，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為10000。,RPRSMLTJLHGGFAF48CC
土城區,建物,新北市土城區學享街83巷1~30號,0.0,住,,,1100222,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730207,70.98,3,2,1,有,無,有,14500,204,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16210，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額14500。另收清潔費500元。,RPWSMLTJLHGGFAF98CC
土城區,建物,新北市土城區中華路二段121~150號,0.0,住,,,1100223,土地0建物1車位0,一層,16,店面(店鋪),商業用,鋼筋混凝土造,0841116,70.18,0,1,1,有,有,無,20000,285,,0.0,0,,RPXTMLTJLHGGFAF56CC
板橋區,建物,新北市板橋區文化路一段301~330號,0.0,住,,,1100223,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950109,170.07999999999998,3,2,2,有,有,有,35000,206,坡道平面,0.0,0,租金含管理費。車位面積無法分算。,RPOUMLTJLHGGFAF38CC
板橋區,建物,新北市板橋區縣民大道一段181~210號,0.0,商,,,1100218,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970808,144.5,3,2,2,有,有,有,37000,256,,0.0,0,租金含管理費。,RPVUMLTJLHGGFAF09CC
土城區,建物,新北市土城區中州路61~90號,0.0,住,,,1100223,土地0建物1車位0,四層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0931125,81.08,1,1,1,有,無,有,15000,185,,0.0,0,,RPSVMLTJLHGGFAF88CC
