交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),中山北路七段14巷61弄1~30號,1100209,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),36,117.09,2,2,2,有,有,16000000,136647,0,016
房地(土地+建物)+車位,臺北市士林區中山北路六段1~30號,1080231,土地1建物1車位3,三層,八層,華廈(10層含以下有電梯),11,305.14,4,2,2,有,有,62000000,240086,6000000,017
房地(土地+建物)+車位,中山北路六段1~30號,1091231,土地1建物1車位3,三層,八層,華廈(10層含以下有電梯),13,305.14,4,2,2,有,有,66880000,219178,0,017
房地(土地+建物)+車位,臺北市北投區行義路31~60號,1021006,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),12,283.15999999999997,4,2,2,有,有,11500000,40613,0,018
房地(土地+建物)+車位,行義路31~60號,1100306,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),19,283.15999999999997,4,2,2,有,有,43900000,155036,0,018
房地(土地+建物),臺北市士林區至善路二段61~90號,1070829,土地10建物1車位0,全,三層,透天厝,42,339.0,5,3,3,有,無,55000000,162242,0,019
房地(土地+建物),至善路二段61~90號,1100129,土地10建物1車位0,全,三層,透天厝,44,339.0,5,3,3,有,無,55000000,162242,0,019
房地(土地+建物),臺北市大安區四維路52巷1~30號,1060810,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),0,127.79,3,2,2,有,無,25500000,199546,0,020
房地(土地+建物),四維路52巷1~30號,1100310,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),-1,127.79,3,2,2,有,無,32800000,256671,0,020
車位,安和路二段61~90號,1090722,土地2建物1車位1,一層,九層,其他,24,2.62,0,0,0,有,有,900000,,900000,021
車位,安和路二段61~90號,1091122,土地2建物1車位1,一層,九層,其他,24,16.709999999999997,0,0,0,有,無,1000000,,1000000,021
車位,安和路二段61~90號,1091222,土地2建物1車位1,一層,九層,華廈(10層含以下有電梯),24,9.940000000000001,0,0,0,有,有,1300000,,1300000,021
車位,安和路二段61~90號,1100322,土地2建物1車位1,一層,九層,其他,24,7.99,0,0,0,有,有,890000,,890000,021
房地(土地+建物)+車位,臺北市文山區三福街9巷1~30號,1040827,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),5,130.19,2,2,1,有,有,20350000,156310,0,022
房地(土地+建物)+車位,三福街9巷1~30號,1100227,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),10,130.19,2,2,1,有,有,22000000,206109,2500000,022
房地(土地+建物),臺北市內湖區大湖山莊街202巷1~30號,1020604,土地4建物1車位0,一層,四層,公寓(5樓含以下無電梯),32,95.23,3,2,2,有,無,14100000,148063,0,023
房地(土地+建物),大湖山莊街202巷1~30號,1100204,土地4建物1車位0,一層,四層,公寓(5樓含以下無電梯),39,95.23,3,2,2,有,無,18000000,189016,0,023
房地(土地+建物),臺北市中山區新生北路一段31~60號,1030223,土地1建物1車位0,三層,十四層,套房(1房1廳1衛),26,38.980000000000004,1,1,1,有,有,8000000,205181,0,024
房地(土地+建物),臺北市中山區新生北路一段31~60號,1040223,土地1建物1車位0,三層,十四層,套房(1房1廳1衛),27,38.980000000000004,1,1,1,有,有,7900000,202616,0,024
房地(土地+建物),新生北路一段31~60號,1100223,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),33,38.980000000000004,1,1,1,有,有,7600000,194922,0,024
房地(土地+建物),臺北市中山區中山北路二段59巷1~30號,1021105,土地4建物1車位0,五層,六層,套房(1房1廳1衛),36,23.49,1,1,1,有,無,4000000,170285,0,025
房地(土地+建物),中山北路二段59巷1~30號,1100305,土地4建物1車位0,五層,六層,華廈(10層含以下有電梯),43,23.49,1,1,1,有,無,4500000,191571,0,025
車位,台北市內湖區康寧路三段54之5至31~60號,1011124,土地0建物0車位1,地下二層，地下三層,十二層,其他,16,44.83,0,0,0,有,有,1400000,,1400000,026
車位,臺北市內湖區康寧路三段54之5至31~60號,1030424,土地0建物0車位1,地下二層，地下三層,十二層,其他,18,45.269999999999996,0,0,0,有,有,1940000,,1940000,026
車位,臺北市內湖區康寧路三段54之5至31~60號,1040724,土地0建物0車位1,地下二層，地下三層,十二層,其他,19,44.83,0,0,0,有,無,1900000,,1900000,026
車位,臺北市內湖區康寧路三段54之5至31~60號,1050124,土地0建物0車位1,地下二層，地下三層,十二層,其他,19,45.269999999999996,0,0,0,有,有,1750000,,1750000,026
車位,臺北市內湖區康寧路三段54之5至31~60號,1080424,土地0建物0車位1,地下二層，地下三層,十二層,其他,23,44.83,0,0,0,有,有,2200000,,2200000,026
車位,康寧路三段54之5至31~60號,1090724,土地1建物1車位1,地下二層，地下三層,十二層,其他,24,45.269999999999996,0,0,0,有,有,1980000,,1980000,026
車位,康寧路三段54之5至31~60號,1090724,土地1建物1車位1,地下二層，地下三層,十二層,其他,24,45.269999999999996,0,0,0,有,有,2300000,,2300000,026
車位,康寧路三段54之5至31~60號,1100324,土地1建物1車位1,地下二層，地下三層,十二層,其他,25,45.269999999999996,0,0,0,有,有,1800000,,1800000,026
房地(土地+建物),臺北市信義區忠孝東路五段790巷61弄1~30號,1050724,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),0,96.16,4,2,1,有,無,13100000,136231,0,027
房地(土地+建物),忠孝東路五段790巷61弄1~30號,1091224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),-1,96.16,6,3,3,有,無,15650000,162750,0,027
車位,崇德街1~30號,1091102,土地2建物1車位1,一層,十四層,其他,13,38.809999999999995,0,0,0,有,有,3150000,,3150000,028
車位,崇德街1~30號,1100302,土地2建物1車位1,一層,十四層,其他,13,38.809999999999995,0,0,0,有,有,3200000,,3200000,028
房地(土地+建物),臺北市松山區延吉街30巷1~30號,1060827,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),40,140.67,3,2,1,有,無,33800000,240279,0,029
房地(土地+建物),延吉街30巷1~30號,1100227,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),43,140.67,9,1,9,有,有,32000000,227483,0,029
房地(土地+建物),臺北市松山區光復北路26巷1~30號,1060721,土地2建物2車位0,四層,十層,華廈(10層含以下有電梯),23,57.03,2,1,1,有,有,13500000,236718,0,030
房地(土地+建物),臺北市松山區光復北路26巷1~30號,1081021,土地2建物2車位0,四層,十層,華廈(10層含以下有電梯),26,57.03,2,1,1,有,有,14100000,247238,0,030
房地(土地+建物),光復北路26巷1~30號,1100221,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),27,57.03,2,1,1,有,有,14980000,262669,0,030
土地,溪洲段二小段241~270地號,1071022,土地11建物0車位0,,,其他,0,0.0,0,0,0,有,無,14566200,66552,0,031
土地,溪洲段三小段91~120地號,1100322,土地11建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3030000,48449,0,031
房地(土地+建物),文林北路80巷91~120號,1091230,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),42,25.99,3,2,2,有,無,5000000,192382,0,032
房地(土地+建物),文林北路80巷91~120號,1100130,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),42,51.98,3,2,2,有,無,10000000,192382,0,032
房地(土地+建物),臺北市大安區信義路四段265巷1~30號,1030913,土地2建物1車位0,六層，電梯樓梯間,七層,華廈(10層含以下有電梯),0,96.39,2,2,2,有,有,27500000,285299,0,034
房地(土地+建物),信義路四段265巷1~30號,1100313,土地2建物1車位0,六層，電梯樓梯間,七層,華廈(10層含以下有電梯),-1,96.39,2,2,2,有,有,25880000,268493,0,034
房地(土地+建物),臺北市大安區和平東路三段91~120號,1030622,土地2建物1車位0,五層,十二層,套房(1房1廳1衛),10,38.34,1,1,1,有,有,13600000,354721,0,035
房地(土地+建物),和平東路三段91~120號,1100222,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),17,38.34,1,1,1,有,有,12000000,312989,0,035
土地,復興段二小段181~210地號,1030517,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,1468000,96136,0,036
土地,復興段三小段541~570地號,1090717,土地10建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1749373,74063,0,036
土地,復興段二小段181~210地號,1100317,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1266908,82967,0,036
房地(土地+建物),臺北市士林區通河西街一段91~120號,1080924,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),34,62.949999999999996,3,1,1,有,無,5500000,87357,0,037
房地(土地+建物),通河西街一段91~120號,1100224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),35,39.14,3,2,2,有,無,2110509,53908,0,037
房地(土地+建物),通河西街一段91~120號,1100224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),35,39.14,3,2,2,有,無,2110509,53908,0,037
