交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),店陽街31~60號,1100204,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),27,146.09,4,2,2,有,有,5300000,36279,0,015
房地(土地+建物),高雄市前鎮區二聖一巷31~60號,1070801,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),40,84.86,2,2,2,有,無,6600000,77775,0,016
房地(土地+建物),二聖一巷31~60號,1100301,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),43,84.86,2,2,1,有,無,5100000,60099,0,016
房地(土地+建物),高雄市前鎮區鎮國路31~60號,1030513,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),36,56.6,3,1,1,有,無,1000000,17668,0,017
房地(土地+建物),高雄市前鎮區鎮國路31~60號,1051113,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),38,56.6,3,1,1,有,無,1450000,25618,0,017
房地(土地+建物),高雄市前鎮區鎮國路31~60號,1070413,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),40,56.6,2,2,2,有,無,1150000,20318,0,017
房地(土地+建物),鎮國路31~60號,1100313,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),42,56.6,2,2,2,有,有,1850000,32686,0,017
車位,文林街31~60號,1100218,土地1建物1車位2,,,其他,25,55.86,0,0,0,有,有,2300000,,0,018
車位,文林街31~60號,1100318,土地1建物1車位1,,,其他,25,27.93,0,0,0,有,無,1200000,,0,018
房地(土地+建物)+車位,高雄市前鎮區中山二路1~30號,1051115,土地1建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),0,210.8,3,2,2,有,無,18980000,90038,0,019
房地(土地+建物)+車位,中山二路1~30號,1100315,土地1建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),5,210.8,4,2,2,有,有,17000000,80645,0,019
房地(土地+建物)+車位,高雄市前鎮區復興三路241~270號,1020701,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),0,179.99,3,2,2,有,無,10550000,58614,0,020
房地(土地+建物)+車位,復興三路241~270號,1100301,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),8,179.99,3,2,2,有,有,11500000,63892,0,020
房地(土地+建物),高雄市小港區永忠街31~60號,1051004,土地3建物1車位0,全,四層,透天厝,5,312.05,5,1,4,有,無,24500000,78513,0,021
房地(土地+建物),高雄市小港區永忠街31~60號,1081204,土地3建物1車位0,全,四層,透天厝,8,312.05,5,1,4,有,無,20500000,65695,0,021
房地(土地+建物),永忠街31~60號,1100304,土地3建物1車位0,全,四層,透天厝,9,312.05,5,2,4,有,無,21000000,67297,0,021
房地(土地+建物),天津街221巷1~30號,1090821,土地1建物1車位0,全,二層,透天厝,60,53.78,2,2,1,有,無,4150000,77166,0,022
房地(土地+建物),天津街221巷1~30號,1100221,土地1建物1車位0,全,二層,透天厝,60,53.78,2,2,1,有,無,5500000,102269,0,022
房地(土地+建物),澄清路361巷19弄1~30號,1091024,土地1建物1車位0,五層，電梯樓梯間,五層,公寓(5樓含以下無電梯),35,108.5,3,2,2,有,無,2250000,20737,0,023
房地(土地+建物),澄清路361巷19弄1~30號,1100224,土地1建物1車位0,五層，電梯樓梯間,五層,公寓(5樓含以下無電梯),36,108.5,3,2,2,有,無,2800000,25806,0,023
房地(土地+建物),高雄市三民區哈爾濱街345巷1~30號,1071209,土地2建物1車位0,全,三層,透天厝,39,94.02,3,2,3,有,無,5000000,53180,0,024
房地(土地+建物),哈爾濱街345巷1~30號,1100309,土地2建物1車位0,全,三層,透天厝,41,94.02,3,2,3,有,無,5200000,55307,0,024
房地(土地+建物)+車位,高雄市三民區鼎山街571~600號,1060110,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),7,153.89,3,2,2,有,有,6400000,41588,0,025
房地(土地+建物)+車位,鼎山街571~600號,1100310,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),11,153.89,3,2,2,有,有,8000000,51985,0,025
房地(土地+建物),高雄市三民區臥龍路91~120號,1081105,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),30,106.86,2,2,3,有,有,9600000,89837,0,026
房地(土地+建物),臥龍路91~120號,1100205,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),31,106.86,2,1,3,有,有,10320000,96575,0,026
房地(土地+建物),高雄市三民區愛國路91~120號,1060215,土地1建物1車位0,七層,十層,套房(1房1廳1衛),11,21.89,1,1,1,有,有,950000,43399,0,027
房地(土地+建物),愛國路91~120號,1100315,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),15,21.89,1,1,1,有,有,1250000,57104,0,027
房地(土地+建物),高雄市三民區順昌街91~120號,1040303,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),33,63.72,2,2,2,有,有,2000000,31387,0,028
房地(土地+建物),高雄市三民區順昌街91~120號,1070903,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),37,63.72,2,2,2,有,有,2500000,39234,0,028
房地(土地+建物),高雄市三民區順昌街91~120號,1071103,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),37,63.72,2,1,1,有,有,2500000,39234,0,028
房地(土地+建物),順昌街91~120號,1100203,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),39,63.72,2,1,1,有,有,3000000,47081,0,028
房地(土地+建物),高雄市三民區中庸街223巷1~30號,1070408,土地1建物1車位0,全,四層,透天厝,38,121.91,4,2,4,有,無,3470000,28464,0,029
房地(土地+建物),中庸街223巷1~30號,1100208,土地1建物1車位0,全,四層,透天厝,41,162.54,6,2,4,有,無,7000000,43066,0,029
土地,左南段361~390地號,1050317,土地7建物0車位0,,,其他,0,0.0,0,0,0,有,無,30465187,37936,0,030
土地,左南段361~390地號,1060217,土地7建物0車位0,,,其他,0,0.0,0,0,0,有,無,10596588,37936,0,030
土地,左南段361~390地號,1070317,土地7建物0車位0,,,其他,0,0.0,0,0,0,有,無,10785811,37935,0,030
土地,左東段241~270地號,1080317,土地7建物0車位0,,,其他,0,0.0,0,0,0,有,無,10596588,37936,0,030
土地,左東段241~270地號,1090317,土地7建物0車位0,,,其他,0,0.0,0,0,0,有,無,10785811,37935,0,030
土地,左東段241~270地號,1100317,土地7建物0車位0,,,其他,-1,0.0,0,0,0,有,無,10596588,37936,0,030
房地(土地+建物),高雄市楠梓區藍昌路271~300號,1070412,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),0,89.39,1,1,1,有,有,3880000,43405,0,031
房地(土地+建物),藍昌路271~300號,1100112,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),3,89.39,3,1,1,有,有,5000000,55935,0,031
房地(土地+建物)+車位,高雄市左營區重忠路91~120號,1070625,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),0,122.93,2,2,1,有,有,8150000,68771,1700000,032
房地(土地+建物)+車位,重忠路91~120號,1100225,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),3,122.93,2,2,1,有,有,8020000,65240,0,032
房地(土地+建物)+車位,高雄市左營區文自路811~840號,1020823,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),18,152.98000000000002,4,2,2,有,無,5300000,34645,0,033
房地(土地+建物)+車位,高雄市左營區文自路811~840號,1040923,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),20,152.98000000000002,4,1,2,有,有,5800000,37913,0,033
房地(土地+建物)+車位,文自路811~840號,1100223,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),26,152.98000000000002,4,2,2,有,有,7500000,49026,0,033
土地,右昌段五小段211~240地號,1070510,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3200000,46377,0,034
土地,右昌段五小段211~240地號,1091210,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3000000,43478,0,034
