編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKLHGGFDK08DA,17,4.70,樓梯間、走廊,鋼筋混凝土造,93年6月23日,三層,
RPSRMLKKLHGGFDK38DA,,105.10,集合住宅,鋼筋混凝土造,109年12月28日,十一層,十一層
RPSRMLKKLHGGFDK38DA,,77.84,共有部分,鋼筋混凝土造,109年12月28日,十一層,
RPROMLMKLHGGFDK18DA,,66.32,集合住宅,鋼筋混凝土造,109年12月28日,十一層,八層
RPROMLMKLHGGFDK18DA,,28.18,共有部分,鋼筋混凝土造,109年12月28日,十一層,
RPSNMLRKLHGGFDK68DA,,100.99,集合住宅,鋼筋混凝土造,109年12月28日,十一層,十層
RPSNMLRKLHGGFDK68DA,,76.08,共有部分,鋼筋混凝土造,109年12月28日,十一層,
RPQNMLSJJHGGFEK38DA,18,332.63,農舍,見其他登記事項,92年5月29日,二層,一層 二層 走廊
RPPOMLPKLHGGFDK28DA,23,66.96,住家用,鋼筋混凝土造,86年10月9日,八層,四層
RPPOMLPKLHGGFDK28DA,23,12.38,梯間，機械室，水箱,鋼筋混凝土造,86年10月9日,八層,
RPPOMLPKLHGGFDK28DA,23,20.16,電機房，水箱，車道，防空避難室，停車空間,鋼筋混凝土造,86年10月9日,八層,
RPVNMLRKLHGGFDK98DA,,97.17,集合住宅,鋼筋混凝土造,109年12月28日,十一層,五層
RPVNMLRKLHGGFDK98DA,,74.45,共有部分,鋼筋混凝土造,109年12月28日,十一層,
RPQOMLTKLHGGFDK78DA,,40.27,住家用,鋼筋混凝土造,109年9月17日,五層,五層
RPQOMLTKLHGGFDK78DA,,40.27,住家用,鋼筋混凝土造,109年9月17日,五層,五層
RPQOMLTKLHGGFDK78DA,,23.98,共有部分,鋼筋混凝土造,109年9月17日,五層,
RPQOMLTKLHGGFDK78DA,,23.98,共有部分,鋼筋混凝土造,109年9月17日,五層,
RPTNMLMLKHGGFFK48DA,3,94.69,集合住宅,鋼筋混凝土造,107年6月6日,十五層,十一層
RPTNMLMLKHGGFFK48DA,3,16.93,梯&#24304;、樓梯間,鋼筋混凝土造,107年6月6日,十五層,
RPTNMLMLKHGGFFK48DA,3,51.65,停車空間、蓄水池、受電室、防空避難室、樓梯間、電梯間、機械室、水箱,鋼筋混凝土造,107年6月6日,十五層,
RPSNMLPJLHGGFFK58DA,40,98.26,住商用,鋼筋混凝土造,69年8月30日,二層,一層 二層 騎樓
RPSNMLPLKHGGFFK68DA,3,92.06,集合住宅,鋼筋混凝土造,107年6月6日,十五層,十層
RPSNMLPLKHGGFFK68DA,3,16.93,梯&#24304;、樓梯間,鋼筋混凝土造,107年6月6日,十五層,
