交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),金門縣金寧鄉頂埔下1~30號,1050401,土地0建物1車位0,二層,三層,套房(1房1廳1衛),0,34.77,1,1,1,有,無,2250000,64711,0,1
房地(土地+建物),頂埔下1~30號,1100401,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),5,34.77,1,1,1,有,無,2600000,74777,0,1
建物,金門城61~90號,1090919,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),0,110.17999999999999,3,2,2,有,無,4293333,38967,0,2
房地(土地+建物),金門城61~90號,1100319,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),1,110.17999999999999,3,1,2,有,無,6450000,58541,0,2
