編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLTLLHGGFAO66DA,5,95.16,見其他登記事項,鋼筋混凝土造,104年12月7日,八層,八層
RPTOMLTLLHGGFAO66DA,5,19.00,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPTOMLTLLHGGFAO66DA,5,59.20,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPROMLTLLHGGFAO09DA,25,44.19,住家用,鋼筋混凝土造,84年12月8日,八層,六層
RPROMLTLLHGGFAO09DA,25,6.55,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPROMLTLLHGGFAO09DA,25,6.84,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPROMLTLLHGGFAO09DA,25,.00,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPROMLTLLHGGFAO09DA,25,24.63,見其他登記事項,鋼筋混凝土造,85年4月10日,八層,地下二層
RPVNMLKMLHGGFAO58DA,2,89.72,集合住宅,鋼筋混凝土造,108年4月26日,二十八層,八層
RPVNMLKMLHGGFAO58DA,2,77.91,共有部分,鋼筋混凝土造,108年4月26日,二十八層,
RPSPMLTLLHGGFAO76EA,39,6.38,共有部分,鋼筋混凝土造,71年6月22日,五層,
RPSPMLTLLHGGFAO76EA,39,12.70,共有部分,鋼筋混凝土造,71年6月22日,五層,
RPSPMLTLLHGGFAO76EA,39,85.38,住家用,鋼筋混凝土造,71年6月22日,五層,五層
RPPNMLTLLHGGFAO88EA,39,98.52,住家用,鋼筋混凝土造,71年4月16日,五層,三層
RPPNMLTLLHGGFAO88EA,39,13.15,共有部分,鋼筋混凝土造,71年4月16日,五層,
RPQNMLTLLHGGFAO98EA,,.02,見其他登記事項,鋼筋混凝土造,109年9月28日,十五層,一層
RPQNMLTLLHGGFAO98EA,,54.47,見其他登記事項,鋼筋混凝土造,109年9月28日,四層,二層
RPQNMLTLLHGGFAO98EA,,.01,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQNMLTLLHGGFAO98EA,,12.03,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQNMLTLLHGGFAO98EA,,36.50,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQNMLTLLHGGFAO98EA,,8.25,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPQNMLTLLHGGFAO98EA,,2.77,共有部分,鋼筋混凝土造,109年9月28日,十五層,
RPSOMLQLLHGGFAO98EA,6,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPSOMLQLLHGGFAO98EA,6,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPSOMLQLLHGGFAO98EA,6,105.13,集合住宅,鋼筋混凝土造,103年12月8日,二十八層,二十二層
RPSOMLQLLHGGFAO98EA,6,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSOMLQLLHGGFAO98EA,6,26.57,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSOMLQLLHGGFAO98EA,6,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPSOMLQLLHGGFAO98EA,6,23.99,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,.00,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPQPMLTLLHGGFAO56EA,6,.00,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPQPMLTLLHGGFAO56EA,6,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPQPMLTLLHGGFAO56EA,6,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPQPMLTLLHGGFAO56EA,6,53.98,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,七層
RPQPMLTLLHGGFAO56EA,6,53.98,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,七層
RPQPMLTLLHGGFAO56EA,6,14.87,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,13.72,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,.06,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,.06,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,14.87,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,13.72,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,12.20,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLTLLHGGFAO56EA,6,12.20,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPQPMLKMLHGGFAO38EA,37,60.76,見使用執照,鋼筋混凝土造,73年6月13日,五層,三層
RPQPMLKMLHGGFAO38EA,37,8.11,共有部分,鋼筋混凝土造,73年6月13日,五層,
RPSPMLKMLHGGFAO58EA,34,101.40,住家用,鋼筋混凝土造,75年7月15日,二層,一層 二層
RPRNMLTLLHGGFAO09EA,20,.74,住家用,鋼筋混凝土造,89年10月26日,十四層,一層
RPRNMLTLLHGGFAO09EA,20,42.81,共有部分,鋼筋混凝土造,89年10月26日,十四層,
RPSQMLKMLHGGFAO68EA,,81.31,見其他登記事項,鋼筋混凝土造,110年1月4日,二十四層,十九層
RPSQMLKMLHGGFAO68EA,,68.75,共有部分,鋼筋混凝土造,110年1月4日,二十四層,
RPRNMLKMLHGGFAO28EA,1,155.67,見其他登記事項,見其他登記事項,108年10月28日,三層,三層 見其他登記事項 一層 二層
RPSNMLTLLHGGFAO56EA,20,170.37,辦公室,鋼骨鋼筋混凝土造,89年10月18日,十七層,九層
RPSNMLTLLHGGFAO56EA,20,.14,管理員室,鋼骨鋼筋混凝土造,89年10月18日,十七層,地下三層
RPSNMLTLLHGGFAO56EA,20,39.46,共有部分,鋼骨鋼筋混凝土造,89年10月18日,十七層,
RPSNMLTLLHGGFAO56EA,20,1.55,共有部分,鋼骨鋼筋混凝土造,89年10月18日,十七層,
RPSNMLTLLHGGFAO56EA,20,2.75,共有部分,鋼骨鋼筋混凝土造,89年10月18日,十七層,
RPSNMLTLLHGGFAO56EA,20,1.57,共有部分,鋼骨鋼筋混凝土造,89年10月18日,十七層,
RPSNMLTLLHGGFAO56EA,20,32.75,共有部分,鋼骨鋼筋混凝土造,89年10月18日,十七層,
RPSNMLKMLHGGFAO38EA,23,169.61,見其他登記事項,鋼筋混凝土造,87年7月14日,三層,二層 三層 一層
RPQNMLKMLHGGFAO18EA,2,.04,見其他登記事項,鋼筋混凝土造,108年4月25日,二十九層,一層 騎樓
RPQNMLKMLHGGFAO18EA,2,.03,見其他登記事項,鋼筋混凝土造,108年4月25日,二十九層,一層 騎樓
RPQNMLKMLHGGFAO18EA,2,95.63,見其他登記事項,鋼筋混凝土造,108年4月25日,二十九層,十三層
RPQNMLKMLHGGFAO18EA,2,.00,共有部分,鋼筋混凝土造,108年4月25日,二十九層,
RPQNMLKMLHGGFAO18EA,2,16.87,共有部分,鋼筋混凝土造,108年4月25日,二十九層,
RPQNMLKMLHGGFAO18EA,2,.01,共有部分,鋼筋混凝土造,108年4月25日,二十九層,
RPQNMLKMLHGGFAO18EA,2,33.06,共有部分,鋼筋混凝土造,108年4月25日,二十九層,
RPQNMLKMLHGGFAO18EA,2,6.10,共有部分,鋼筋混凝土造,108年4月25日,二十九層,
RPQNMLKMLHGGFAO18EA,2,26.24,共有部分,鋼筋混凝土造,108年4月25日,二十九層,
RPTNMLKMLHGGFAO48EA,8,77.51,見其他登記事項,鋼筋混凝土造,102年4月10日,十五層,二層
