編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLPLLHGGFDQ76DA,40,119.33,住商用,鋼筋混凝土加強磚造,70年7月28日,二層,一層 二層 騎樓
RPUNMLPLLHGGFDQ76DA,40,119.33,住商用,鋼筋混凝土加強磚造,70年7月28日,二層,一層 二層 騎樓
RPXNMLLMLHGGFDQ76DA,26,179.55,住家用,鋼筋混凝土造,84年4月7日,三層,一層 二層 三層
RPWNMLLMLHGGFDQ66DA,25,168.83,健身房、住房,鋼筋混凝土造,85年3月22日,四層,一層 二層 三層 四層
RPQNMLLJMHGGFDQ48DA,18,186.50,住宅、停車空間,鋼筋混凝土造,92年5月30日,四層,一層 二層 三層 四層
RPWNMLKMLHGGFDQ56DA,39,94.57,住商用,鋼筋混凝土加強磚造,71年6月11日,二層,一層 二層 騎樓
RPTNMLKMLHGGFDQ88DA,2,315.76,住家用,鋼筋混凝土造,108年5月17日,四層,一層 二層 三層 四層
RPRNMLQJMHGGFCQ09EA,17,136.89,自用農舍,鋼筋混凝土加強磚造,93年5月3日,一層,一層
RPPNMLQJMHGGFEQ09EA,40,65.70,住商用,鋼筋混凝土加強磚造,70年4月21日,二層,一層 二層 騎樓
RPPNMLQJMHGGFEQ09EA,40,65.70,住商用,鋼筋混凝土加強磚造,70年4月21日,二層,一層 二層 騎樓
RPPNMLQKLHGGFDQ88DA,15,198.27,住商用,鋼筋混凝土造,94年10月11日,四層,一層 二層 三層 四層
RPQNMLPJMHGGFDQ88DA,41,122.20,住家用,加強磚造,69年6月26日,二層,一層 二層
RPRNMLQJMHGGFDQ09DA,16,183.45,住商用,鋼筋混凝土造,94年9月2日,四層,一層 二層 三層 四層
RPUNMLRJMHGGFCQ76DA,48,65.26,住家用,木造,62年4月21日,一層,一層
RPOOMLRJMHGGFCQ88DA,2,145.61,住家用,鋼筋混凝土造,107年9月4日,二層,一層 二層
RPTNMLNLLHGGFDQ09DA,26,166.87,住家用,鋼筋混凝土造,84年1月10日,三層,一層 二層 三層
RPQNMLOJMHGGFBQ58DA,24,38.23,住家用,鋼筋混凝土造,86年1月10日,十層,四層
RPQNMLOJMHGGFBQ58DA,24,9.32,防空避難室兼停車空間,鋼筋混凝土造,86年1月10日,十層,
RPQNMLOJMHGGFBQ58DA,24,5.88,電、樓梯間,鋼筋混凝土造,86年1月10日,十層,
