鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市成仁街211~240號,67.0,住,,,1100301,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0651227,213.68,6,2,4,有,無,無,20000,94,,0.0,0,,RPUOMLMJLHGGFAI97CC
嘉義市,房地(土地+建物),嘉義市嘉義市興業西路31~60號,105.0,商,,,1100301,土地1建物0車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0730601,269.95,6,3,4,有,無,無,26000,96,,0.0,0,,RPXOMLMJLHGGFAI28CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.64,住,,,1100208,土地1建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,151.04,4,2,2,有,有,有,14000,93,,0.0,0,,RPXNMLOJLHGGFAI38CC
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路781~810號,20.38,住,,,1100303,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,168.48,3,2,2,有,有,有,20000,119,,0.0,0,含汽車機械停車位一位,RPRPMLOJLHGGFAI97CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,3.5,住,,,1100210,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,147.55,4,2,2,有,有,有,11000,75,,0.0,0,,RPUOMLSJLHGGFAI58CC
嘉義市,房地(土地+建物),嘉義市嘉義市民權路1~30號,16.28,住,,,1100216,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870421,111.55,3,2,2,有,有,有,12000,108,,0.0,0,,RPOOMLTJLHGGFAI08CC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路781~810號,20.32,住,,,1100306,土地1建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050510,168.02,2,2,1,有,有,有,27000,161,坡道機械,0.0,0,含汽車停車位二位,RPXOMLTJLHGGFAI98CC
