鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
左營區,房地(土地+建物),高雄市左營區正心街91~120號,1.92,商,,,1100309,土地1建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780612,159.27,4,2,2,有,有,有,17800,112,,0.0,0,,RPSOMLTJLHGGFEE48CC
左營區,房地(土地+建物),高雄市左營區富民路31~60號,154.0,住,,,1100308,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0950425,356.78,0,0,0,無,無,有,75000,210,,0.0,0,,RPXOMLTJLHGGFEE98CC
楠梓區,建物,高雄市楠梓區翠屏路31~60號,0.0,住,,,1100209,土地0建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031125,97.03999999999999,2,2,1,有,有,有,15000,155,坡道機械,18.67,0,租金含管理費。,RPVPMLTJLHGGFEE88CC
左營區,建物,高雄市左營區曾子路210巷1~30號,0.0,住,,,1100214,土地0建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,114.18,3,2,2,有,有,有,15000,131,,0.0,0,租金含管理費。,RPXPMLTJLHGGFEE09CC
鳳山區,建物,高雄市鳳山區鳳南路1~30號,0.0,住,,,1100302,土地0建物1車位0,三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850705,123.65,3,2,2,有,有,有,14500,117,,0.0,0,,RPXNMLTJLHGGFGE09CC
鳳山區,建物,高雄市鳳山區國民街1~30號,0.0,住,,,1100303,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710430,73.65,3,2,2,有,無,有,9000,122,,0.0,0,,RPTOMLTJLHGGFGE78CC
鳳山區,建物,高雄市鳳山區林森路31~60號,0.0,住,,,1100303,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801212,141.32999999999998,3,1,2,有,有,有,9000,64,,0.0,0,,RPOPMLTJLHGGFGE38CC
鳳山區,土地,七老爺段一甲小段1051~1080地號,1332.23,農,,,1100219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,75,,0.0,0,含增建或未登記建物。；,RPPPMLTJLHGGFGE48CC
岡山區,房地(土地+建物),高雄市岡山區岡山路511~540號,7.82,住,,,1100217,土地1建物1車位0,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841118,116.17,4,2,2,有,有,有,12000,103,,0.0,0,,RPRNMLTJLHGGFFE38CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100304,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5800,196,,0.0,0,面馬路採光好,RPTNMLTJLHGGFFE58CC
