交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,新竹縣竹北市成功八路181~210號,1010810,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),1,176.72000000000003,3,2,2,無,有,7500000,47701,1150000,032
房地(土地+建物)+車位,新竹縣竹北市成功八路181~210號,1031010,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),3,176.72000000000003,3,2,2,有,有,8820000,49909,0,032
房地(土地+建物)+車位,成功八路181~210號,1100310,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),9,176.72000000000003,3,2,2,有,有,13000000,73563,0,032
房地(土地+建物)+車位,新竹縣竹北市勝利八街一段211~240號,1060322,土地1建物1車位1,十九層,二十七層,住宅大樓(11層含以上有電梯),1,121.17,2,1,1,有,有,7600000,70888,850000,033
房地(土地+建物)+車位,勝利八街一段211~240號,1100222,土地1建物1車位1,十九層,二十七層,住宅大樓(11層含以上有電梯),5,121.17,2,2,1,有,有,9500000,78402,0,033
房地(土地+建物),新竹縣竹北市國興街1~30號,1020804,土地2建物1車位0,全,五層,透天厝,3,266.47,5,2,4,有,有,17500000,65673,0,034
房地(土地+建物)+車位,國興街1~30號,1100304,土地2建物1車位1,全,五層,透天厝,10,266.47,5,4,5,有,有,20900000,78433,0,034
房地(土地+建物)+車位,新竹縣竹北市六家五路一段211~240號,1030408,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),0,119.42999999999999,2,1,2,有,有,9240000,81109,550000,035
房地(土地+建物)+車位,新竹縣竹北市六家五路一段211~240號,1051208,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),3,119.42999999999999,2,1,1,有,有,9000000,75358,0,035
房地(土地+建物)+車位,六家五路一段211~240號,1100208,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),7,119.42999999999999,2,2,2,有,有,9580000,80214,0,035
房地(土地+建物)+車位,新竹縣竹北市嘉豐二街二段61~90號,1011203,土地1建物2車位1,一層,十二層,店面(店鋪),6,120.57,0,0,0,無,有,13700000,113627,0,036
房地(土地+建物)+車位,嘉豐二街二段61~90號,1100203,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),14,120.57,2,2,2,有,有,17900000,148461,0,036
房地(土地+建物)+車位,新竹縣竹北市十興路一段241~270號,1051109,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),2,105.9,2,1,1,有,有,6000000,68618,1100000,037
房地(土地+建物)+車位,十興路一段241~270號,1100209,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),3,105.9,2,2,1,有,有,8350000,78848,0,037
房地(土地+建物)+車位,新竹縣竹北市光明六路東二段241~270號,1021127,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),5,89.26,3,1,1,有,有,5850000,65539,0,038
房地(土地+建物)+車位,光明六路東二段241~270號,1100227,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),12,89.26,3,1,1,有,有,7900000,88505,0,038
房地(土地+建物),新竹縣竹北市民權街17巷1~30號,1040926,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),20,113.65,3,2,2,有,有,5160000,45403,0,039
房地(土地+建物),民權街17巷1~30號,1100226,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),26,113.65,3,2,2,有,有,5180000,45579,0,039
房地(土地+建物),文山二街148巷1~30號,1080827,土地2建物1車位0,全,四層,透天厝,0,184.64,4,2,4,有,有,13180000,71382,0,040
房地(土地+建物),文山二街148巷1~30號,1100227,土地2建物1車位0,全,四層,透天厝,0,184.64,4,2,4,有,有,14700000,79614,0,040
土地,貓兒錠段後面小段361~390地號,1070806,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,11110000,6653,0,041
土地,貓兒錠段後面小段361~390地號,1100106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,360000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1091106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1090806,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1100106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1091106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1091106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1091106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1091106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,360000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1100106,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1100206,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1100306,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,180000,6613,0,041
土地,貓兒錠段後面小段361~390地號,1100306,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,360000,6613,0,041
房地(土地+建物)+車位,新竹縣竹北市成功十街61~90號,1020123,土地1建物1車位1,四層,十層,住宅大樓(11層含以上有電梯),0,91.49,2,1,1,有,有,6680000,99896,900000,042
房地(土地+建物)+車位,成功十街61~90號,1100223,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),8,125.11,2,2,1,有,有,10880000,86963,0,042
車位,自強七街1~30號,1100315,土地1建物1車位1,一層,十層,其他,17,22.86,0,0,0,有,有,800000,,800000,043
車位,自強七街1~30號,1100315,土地1建物1車位1,一層,十層,其他,17,22.86,0,0,0,有,有,800000,,800000,043
車位,自強七街1~30號,1100315,土地1建物1車位1,一層,十層,其他,17,22.86,0,0,0,有,無,700000,,700000,043
房地(土地+建物)+車位,新竹縣竹北市興隆路一段511~540號,1020623,土地1建物1車位2,二層,二十四層,住宅大樓(11層含以上有電梯),0,368.54999999999995,4,2,3,有,有,25890000,78593,2000000,047
房地(土地+建物)+車位,新竹縣竹北市興隆路一段511~540號,1061123,土地1建物1車位2,二層,二十四層,住宅大樓(11層含以上有電梯),4,368.54999999999995,4,2,3,有,有,21550000,58472,0,047
房地(土地+建物)+車位,興隆路一段511~540號,1100223,土地1建物1車位2,二層,二十四層,住宅大樓(11層含以上有電梯),8,368.54999999999995,4,2,2,有,有,33680000,91385,0,047
房地(土地+建物)+車位,新竹縣竹北市十興五街91~120號,1030631,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),0,157.82,3,2,2,有,有,8300000,52592,0,048
房地(土地+建物)+車位,十興五街91~120號,1100131,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),7,157.82,2,2,2,有,有,13520000,85667,0,048
土地,三崁店段三崁店小段1~30地號,1091017,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2311000,19808,0,049
土地,三崁店段三崁店小段1~30地號,1100117,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7940000,22686,0,049
