編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLQLLHGGFBH28DA,2,25.81,本共有部分之項目有：樓梯間、設備空間、機械室、水箱、梯廳及排煙室等六項。,鋼筋混凝土造,108年2月22日,十六層,
RPOQMLQLLHGGFBH08DA,2,107.08,集合住宅,鋼筋混凝土造,108年2月22日,十六層,五層
RPOQMLQLLHGGFBH08DA,2,48.33,本共有部分之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、水箱、機房、汙水機房、消防機房、車道、排煙室、發電機室、台電配電室、電信機房、防災中心及垃圾暫存空間等十四項。,鋼筋混凝土造,108年2月22日,十六層,
RPOQMLQLLHGGFBH08DA,2,34.39,本共有部分之項目有：樓梯間、設備空間、機械室、水箱、梯廳及排煙室等六項。,鋼筋混凝土造,108年2月22日,十六層,
RPWPMLQLLHGGFBH78DA,2,108.89,集合住宅,鋼筋混凝土造,108年2月22日,十六層,十二層
RPWPMLQLLHGGFBH78DA,2,47.29,本共有部分之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、水箱、機房、汙水機房、消防機房、車道、排煙室、發電機室、台電配電室、電信機房、防災中心及垃圾暫存空間等十四項。,鋼筋混凝土造,108年2月22日,十六層,
RPWPMLQLLHGGFBH78DA,2,26.01,本共有部分之項目有：樓梯間、設備空間、機械室、水箱、梯廳及排煙室等六項。,鋼筋混凝土造,108年2月22日,十六層,
RPVPMLQLLHGGFBH68DA,2,108.89,集合住宅,鋼筋混凝土造,108年2月22日,十六層,六層
RPVPMLQLLHGGFBH68DA,2,47.29,本共有部分之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、水箱、機房、汙水機房、消防機房、車道、排煙室、發電機室、台電配電室、電信機房、防災中心及垃圾暫存空間等十四項。,鋼筋混凝土造,108年2月22日,十六層,
RPVPMLQLLHGGFBH68DA,2,26.01,本共有部分之項目有：樓梯間、設備空間、機械室、水箱、梯廳及排煙室等六項。,鋼筋混凝土造,108年2月22日,十六層,
RPOPMLKMLHGGFBH47DA,25,78.45,住家用,鋼筋混凝土造,84年10月6日,六層,五層
RPOPMLKMLHGGFBH47DA,25,15.00,共有部分,鋼筋混凝土造,84年10月6日,六層,
RPSRMLQLLHGGFBH58DA,21,89.69,住家用,鋼筋混凝土造,89年1月20日,九層,四層
RPSRMLQLLHGGFBH58DA,21,30.08,共有部分,鋼筋混凝土造,89年1月20日,九層,
RPPQMLQLLHGGFBH18DA,2,53.54,集合住宅,鋼筋混凝土造,108年2月22日,十六層,八層
RPPQMLQLLHGGFBH18DA,2,53.54,集合住宅,鋼筋混凝土造,108年2月22日,十六層,八層
RPPQMLQLLHGGFBH18DA,2,24.16,本共有部分之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、水箱、機房、汙水機房、消防機房、車道、排煙室、發電機室、台電配電室、電信機房、防災中心及垃圾暫存空間等十四項。,鋼筋混凝土造,108年2月22日,十六層,
RPPQMLQLLHGGFBH18DA,2,24.16,本共有部分之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、水箱、機房、汙水機房、消防機房、車道、排煙室、發電機室、台電配電室、電信機房、防災中心及垃圾暫存空間等十四項。,鋼筋混凝土造,108年2月22日,十六層,
RPPQMLQLLHGGFBH18DA,2,17.20,本共有部分之項目有：樓梯間、設備空間、機械室、水箱、梯廳及排煙室等六項。,鋼筋混凝土造,108年2月22日,十六層,
RPPQMLQLLHGGFBH18DA,2,17.20,本共有部分之項目有：樓梯間、設備空間、機械室、水箱、梯廳及排煙室等六項。,鋼筋混凝土造,108年2月22日,十六層,
RPUQMLPLLHGGFBH58DA,14,120.14,住家用,鋼筋混凝土造,96年3月1日,十五層,五層
RPUQMLPLLHGGFBH58DA,14,50.48,共有部分,鋼筋混凝土造,96年3月1日,十五層,
RPUQMLPLLHGGFBH58DA,14,20.42,共有部分,鋼筋混凝土造,96年3月1日,十五層,
RPTPMLKMLHGGFBH97DA,25,78.45,住家用,鋼筋混凝土造,84年10月6日,六層,四層
RPTPMLKMLHGGFBH97DA,25,15.00,共有部分,鋼筋混凝土造,84年10月6日,六層,
RPUOMLTLLHGGFBH78DA,20,.02,警衛室,鋼筋混凝土造,89年10月21日,九層,一層
RPUOMLTLLHGGFBH78DA,20,81.30,住家用,鋼筋混凝土造,89年10月21日,九層,六層
RPUOMLTLLHGGFBH78DA,20,8.53,梯間,鋼筋混凝土造,89年10月21日,九層,
RPUOMLTLLHGGFBH78DA,20,.00,店舖、住宅﹝社區活動中心﹞,鋼筋混凝土造,89年10月21日,九層,
RPUOMLTLLHGGFBH78DA,20,2.91,店舖、住宅﹝社區活動中心﹞,鋼筋混凝土造,89年10月21日,九層,
