鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
卓蘭鎮,土地,卓蘭段2821~2850地號,1407.0,,特定農業區,農牧用地,1100118,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,2132,,0.0,0,農作物；,RPPNMLQJMHGGFAK97DA,0.0,0.0,0.0,無,054
頭屋鄉,土地,明德段31~60地號,736.01,,山坡地保育區,農牧用地,1100304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,934733,1270,,0.0,0,政府機關標讓售；,RPQNMLLJMHGGFBK67DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物)+車位,福星里12鄰嘉福街31~60號,27.97,都市：其他:住宅區,,,1100306,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081231,82.63,2,1,2,有,有,5500000,66562,一樓平面,0.0,0,,RPXNMLTLLHGGFBK66DA,60.54,0.0,3.27,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,32.98,都市：其他:住宅區,,,1100227,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,180.64,3,2,2,有,有,7660000,42405,坡道平面,27.04,0,,RPOOMLQJMHGGFBK08DA,98.49,0.0,6.57,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,31.18,都市：其他:住宅區,,,1100317,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,173.07999999999998,3,2,2,有,有,7400000,42755,坡道平面,27.04,0,,RPPOMLQJMHGGFBK18DA,92.99,0.0,6.7,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,31.18,都市：其他:住宅區,,,1100307,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,173.07999999999998,3,2,2,有,有,8600000,49688,坡道平面,27.04,0,含裝潢費1000000元；,RPQOMLQJMHGGFBK28DA,92.99,0.0,6.7,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,31.18,都市：其他:住宅區,,,1100316,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,173.07999999999998,3,2,2,有,有,7880000,45528,坡道平面,27.04,0,,RPROMLQJMHGGFBK38DA,92.99,0.0,6.7,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,18.92,都市：其他:住宅區,,,1090522,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,116.91,2,1,1,有,有,4780000,40886,坡道平面,27.04,0,,RPSOMLQJMHGGFBK48DA,56.04,0.0,4.08,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,14.06,都市：其他:住宅區,,,1100106,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,97.34,1,1,1,有,有,4150000,42634,坡道平面,27.04,0,,RPVNMLQJMHGGFBK68DA,41.56,0.0,5.1,有,
頭屋鄉,土地,頭屋段一小段871~900地號,561.44,,,,1100306,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6566000,11695,,0.0,0,,RPQNMLRJMHGGFBK28DA,0.0,0.0,0.0,無,
苗栗市,土地,芒埔段331~360地號,1542.0,,特定農業區,農牧用地,1100201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10800000,7004,,0.0,0,未登記建物；,RPRNMLRJMHGGFBK38DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物),福麗里4鄰電台31~60號,223.0,,山坡地保育區,丙種建築用地,1100312,土地1建物1車位0,全,,透天厝,住家用,鋼筋混凝土造,,437.8,8,3,3,有,無,8150000,18616,,0.0,0,,RPPOMLRJMHGGFBK28DA,344.49,0.0,93.31,無,
苗栗市,房地(土地+建物),文聖里1鄰橫車路332巷31~60號,109.19,都市：其他:住宅區,,,1100312,土地1建物1車位0,一層，二層，三層，屋頂突出物,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820823,215.08,5,1,3,有,無,3056255,14210,,0.0,0,一親等間買賣交易,RPSOMLSJMHGGFBK68DA,207.7,2.46,4.92,無,
苑裡鎮,房地(土地+建物),西平里1鄰忠仁街1~30號,161.9,都市：其他:住宅區,,,1100302,土地2建物1車位0,全,三層,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1031024,226.03,4,2,5,有,無,11110000,49153,,0.0,0,,RPQNMLPJLHGGFCK08DA,205.83,0.0,20.2,無,055
苑裡鎮,土地,苑港段1471~1500地號,3388.0,,特定農業區,農牧用地,1100118,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3074610,908,,0.0,0,買賣價金依出售面積比例收受,RPRNMLPJLHGGFCK18DA,0.0,0.0,0.0,無,
苑裡鎮,房地(土地+建物),中正里14鄰中正91~120號,112.21,都市：其他:住宅區,,,1100311,土地1建物1車位0,全,四層,透天厝,住宅、停車空間,鋼筋混凝土造,1090316,266.76,5,3,6,有,無,14000000,52482,,0.0,0,,RPPNMLQKLHGGFCK18DA,235.13,0.0,31.63,無,
苑裡鎮,土地,苑北段631~660地號,92.14,都市：其他:住宅區,,,1100323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1672200,18148,,0.0,0,,RPTNMLQJMHGGFCK58DA,0.0,0.0,0.0,無,
苑裡鎮,土地,舊社段421~450地號,220.46,,特定農業區,農牧用地,1091009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1440504,6534,,0.0,0,,RPUNMLQJMHGGFCK68DA,0.0,0.0,0.0,無,051
