鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
斗六市,房地(土地+建物),榴十二街1~30號,87.41,,工業區,丁種建築用地,1100315,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880309,161.11,5,2,3,有,無,4200000,26069,,0.0,0,陽台外推；頂樓加蓋；未登記建物；,RPUNMLLMLHGGFAP78EA,146.02,2.34,12.75,無,
林內鄉,房地(土地+建物),中正路631~660號,123.0,都市：其他:住宅區,,,1100126,土地1建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土造,1090325,206.3,5,2,4,有,無,7000000,33931,,0.0,0,土地價金新台幣:224萬元整；建物價金新台幣:476萬元整。,RPVNMLLMLHGGFAP88EA,193.82,0.0,12.5,無,
古坑鄉,土地,棋山段1351~1380地號,362.86,,一般農業區,特定目的事業用地,1100319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1139380,3140,,0.0,0,協議價購；,RPUNMLKMLHGGFAP68EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物)+車位,公正街195巷61~90號,26.02,都市：其他:住宅區,,,1100204,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831210,88.35,2,1,1,有,有,3050000,34522,一樓平面,0.0,0,,RPOOMLKMLHGGFAP18EA,47.12,2.09,2.9,有,010
古坑鄉,土地,田心段1171~1200地號,1414.92,,特定農業區,農牧用地,1100202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1058800,748,,0.0,0,,RPTNMLNLKHGGFAP68EA,0.0,0.0,0.0,無,
斗六市,土地,北環段241~270地號,745.09,都市：其他:住宅區,,,1091123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50000000,67106,,0.0,0,,RPVNMLTLLHGGFAP96EA,0.0,0.0,0.0,無,
古坑鄉,土地,大湖底段61~90地號,752.5,,山坡地保育區,農牧用地,1100322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,664,,0.0,0,農作物；,RPPOMLTLLHGGFAP09EA,0.0,0.0,0.0,無,011
北港鎮,房地(土地+建物),大同路516巷31~60號,87.0,都市：其他:住宅區,,,1100319,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0730915,117.22,3,2,2,有,無,3600000,30711,,0.0,0,其他增建；,RPTNMLLJMHGGFEP78DA,111.36,0.0,5.86,無,
麥寮鄉,房地(土地+建物),義興南街1~30號,64.0,,鄉村區,乙種建築用地,1100312,土地1建物1車位0,全,二層,透天厝,住宅,加強磚造,0711001,115.2,1,2,2,有,無,4300000,37326,,0.0,0,,RPVNMLKMLHGGFFP56DA,115.2,0.0,0.0,無,
台西鄉,土地,普令厝段1621~1650地號,2383.0,,一般農業區,農牧用地,1100225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1429800,600,,0.0,0,,RPQNMLLJMHGGFFP58DA,0.0,0.0,0.0,無,
元長鄉,房地(土地+建物),子茂路91~120號,119.0,,特定農業區,甲種建築用地,1100316,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820825,141.56,2,2,3,有,無,2800000,19780,,0.0,0,,RPRNMLLMLHGGFEP78DA,131.13,0.0,10.43,無,
虎尾鎮,土地,大屯子段481~510地號,1830.3,,特定農業區,農牧用地,1100325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3294000,1800,,0.0,0,,RPPNMLQKMHGGFDP88DA,0.0,0.0,0.0,無,012
北港鎮,土地,大北段241~270地號,2060.8,,特定農業區,農牧用地,1100317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,970,,0.0,0,,RPVNMLLJMHGGFEP98DA,0.0,0.0,0.0,無,
四湖鄉,房地(土地+建物),下鹿場路91~120號,111.01,,一般農業區,甲種建築用地,1100222,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841019,169.51,6,3,4,有,無,3380000,19940,,0.0,0,,RPWNMLLJMHGGFEP09DA,160.16,0.0,9.35,無,013
四湖鄉,土地,林厝寮段1471~1500地號,1363.5,,一般農業區,農牧用地,1100310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,330,,0.0,0,,RPSNMLSKLHGGFEP76DA,0.0,0.0,0.0,無,014
水林鄉,土地,蕃薯段2161~2190地號,4173.0,,特定農業區,農牧用地,1100308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,911,,0.0,0,,RPRNMLMLLHGGFEP78DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),興南路901~930號,76.0,,特定農業區,甲種建築用地,1100301,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0851007,164.08,4,2,3,有,有,5800000,35349,,0.0,0,,RPSNMLLJMHGGFDP58DA,144.24,19.84,0.0,無,
土庫鎮,土地,崙內段421~450地號,1825.0,,特定農業區,農牧用地,1100319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1806750,990,,0.0,0,,RPOOMLKMLHGGFDP38DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),工專路211~240號,7.44,都市：其他:住宅區,,,1100319,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861106,44.54,1,0,1,有,有,1020000,22901,,0.0,0,,RPQNMLLMLHGGFDP58DA,22.22,0.0,9.77,有,
土庫鎮,土地,越港段691~720地號,182.33,都市：其他:住宅區,,,1091230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,21938,,0.0,0,,RPTNMLLMLHGGFDP88DA,0.0,0.0,0.0,無,
虎尾鎮,土地,竹圍子段541~570地號,1042.0,,特定農業區,農牧用地,1100323,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,3359,,0.0,0,,RPQNMLKMLHGGFDP48DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),復興路121~150號,128.05,都市：其他:住宅區,,,1091229,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0670825,148.12,3,2,2,有,無,11800000,79665,,0.0,0,頂樓加蓋；其他增建；,RPRNMLKMLHGGFDP58DA,148.12,0.0,0.0,無,015
虎尾鎮,房地(土地+建物),虎興南路91~120號,111.16,都市：其他:住宅區,,,1100126,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090908,154.91,3,2,4,有,無,9000000,58098,,0.0,0,,RPUNMLRLLHGGFDP86DA,143.65,0.0,11.26,無,
土庫鎮,土地,菜園段871~900地號,282.0,都市：其他:住宅區,,,1100301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9895380,35090,,0.0,0,,RPQNMLRLLHGGFDP09DA,0.0,0.0,0.0,無,016
虎尾鎮,房地(土地+建物)+車位,林森路一段360巷1~30號,17.17,都市：其他:商業區,,,1100320,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840406,144.86,3,2,2,有,有,5200000,35897,坡道平面,0.0,0,,RPRNMLRLLHGGFDP56DA,91.78,0.0,12.14,有,017
虎尾鎮,房地(土地+建物),永興北一街1~30號,141.41,都市：其他:住宅區,,,1100224,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,250.01,4,3,5,有,無,13300000,53198,,0.0,0,,RPPOMLPLLHGGFDP88DA,230.28,0.0,19.73,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,141.45,都市：其他:住宅區,,,1100224,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,250.01,4,3,5,有,無,13000000,51998,,0.0,0,,RPQOMLPLLHGGFDP98DA,230.28,0.0,19.73,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,143.33,都市：其他:住宅區,,,1100224,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,254.02,4,3,5,有,無,13600000,53539,,0.0,0,,RPROMLPLLHGGFDP09DA,233.98,0.0,20.04,無,
崙背鄉,土地,東興段31~60地號,1000.4,,特定農業區,農牧用地,1100316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1715368,1715,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLMLHGGFCP48DA,0.0,0.0,0.0,無,
崙背鄉,土地,崩溝寮段121~150地號,1000.0,,特定農業區,甲種建築用地,1100219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5301380,5301,,0.0,0,,RPRNMLLMLHGGFCP58DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),仁義路4巷1~30號,1863.41,,特定農業區,農牧用地,1100314,土地3建物1車位0,全,四層,透天厝,集村農舍,鋼筋混凝土造,0970508,320.4,16,0,16,有,無,11800000,36829,,0.0,0,,RPSNMLLMLHGGFAP48DA,320.4,0.0,0.0,無,
西螺鎮,土地,埔東段901~930地號,7.98,都市：其他:住宅區,,,1100315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152737,19140,,0.0,0,政府機關標讓售；,RPRNMLLJMHGGFCP38DA,0.0,0.0,0.0,無,
古坑鄉,土地,湳子段331~360地號,3262.05,,特定專用區,農牧用地,1100225,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17800000,5457,,0.0,0,含土地增值稅或其他稅費；農作物；,RPWNMLKMLHGGFAP78DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),西平路1~30號,676.0,都市：其他:商業區,,,1091114,土地3建物1車位0,一層，二層，三層，四層，五層，六層，七層，八層，屋頂突出物，騎樓，地下層,八層,店面(店鋪),醫院、病房、住宅,鋼筋混凝土造,0760704,2693.02,0,0,0,無,無,120000000,44560,,0.0,0,建物型態：獨棟店鋪建物。頂樓加蓋；其他增建；,RPXNMLLMLHGGFAP98DA,2693.02,0.0,0.0,有,
斗六市,土地,大潭段社口小段91~120地號,126.94,都市：其他:道路用地,,,1100326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1840630,14500,,0.0,0,含土地增值稅或其他稅費；包含公共設施保留地用地；,RPRNMLKMLHGGFAP28DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),南京路361~390號,16.67,都市：其他:商業區,,,1100302,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830901,134.04,3,2,2,有,有,3500000,26112,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLTLLHGGFAP09DA,106.32,0.42,13.54,有,
斗六市,房地(土地+建物),明德北路三段359巷1~30號,143.77,都市：其他:工業區,,,1100306,土地3建物1車位0,全,三層,透天厝,一般零售業（店舖）、樓梯間,鋼筋混凝土造,1030618,193.81,5,3,3,有,無,11500000,59336,,0.0,0,頂樓加蓋；,RPPNMLRKLHGGFAP58DA,182.59,0.0,11.22,無,018
斗六市,土地,九老爺段1231~1260地號,3261.0,,特定農業區,農牧用地,1100103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,1687,,0.0,0,本案依土地法第34條之1處分。,RPPOMLNLLHGGFAP38DA,0.0,0.0,0.0,無,
斗六市,土地,竹頭段271~300地號,60.07,,一般農業區,甲種建築用地,1091217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,490587,8167,,0.0,0,,RPVNMLPLLHGGFAP09DA,0.0,0.0,0.0,無,019
斗六市,房地(土地+建物)+車位,榴一街31~60號,31.66,,工業區,丁種建築用地,1100221,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091113,117.52,3,2,2,有,有,4350000,37015,一樓平面,0.0,0,本買賣為房地交易土地總價為81萬元建物總價為354萬元預售屋、或土地及建物分次登記案件；,RPXNMLPLLHGGFAP66DA,73.57,0.0,7.76,有,
斗六市,房地(土地+建物),榴一街31~60號,28.02,,工業區,丁種建築用地,1100221,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091113,103.59,3,2,2,有,有,3950000,38131,,0.0,0,本買賣為房地交易土地總價為72萬元建物總價為323萬元預售屋、或土地及建物分次登記案件；,RPOOMLPLLHGGFAP48DA,0.0,0.0,0.0,有,
古坑鄉,房地(土地+建物),文昌路211~240號,176.46,,鄉村區,乙種建築用地,1100302,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0710103,183.61,3,1,1,有,無,2600000,14160,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLQLLHGGFAP78DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),五權街61~90號,22.55,都市：其他:住宅區,,,1100316,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830802,128.14,3,1,2,有,無,3700000,28875,,0.0,0,,RPWNMLRKLHGGFAP66DA,77.14,0.0,11.19,有,
古坑鄉,房地(土地+建物)+車位,永興路151~180號,46.07,,鄉村區,乙種建築用地,1100227,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050630,183.17000000000002,3,2,2,有,有,5880000,33775,坡道平面,29.8,700000,急買急賣；,RPQNMLLLLHGGFAP18DA,94.58,0.0,9.67,有,020
斗六市,土地,虎溪段661~690地號,286.78,,鄉村區,乙種建築用地,1100206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,19178,,0.0,0,,RPSNMLPKLHGGFAP68DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),榴一街1~30號,28.02,,工業區,丁種建築用地,1100221,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091113,103.59,3,2,2,有,有,3950000,38131,,0.0,0,本買賣為房地交易土地總價為72萬元建物總價為323萬元預售屋、或土地及建物分次登記案件；,RPVNMLKMLHGGFAP68DA,0.0,0.0,0.0,有,
古坑鄉,房地(土地+建物),南昌1~30號,271.88,,一般農業區,甲種建築用地,1100316,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0730701,139.81,2,1,2,有,無,3750000,26822,,0.0,0,,RPOOMLLMLHGGFAP18DA,139.81,0.0,0.0,無,
斗六市,土地,雲林溪段31~60地號,106.98,都市：其他:住宅區,,,1100127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8700000,81324,,0.0,0,,RPPNMLLJMHGGFAP97DA,0.0,0.0,0.0,無,021
斗六市,土地,雲林溪段31~60地號,106.98,都市：其他:住宅區,,,1100127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8700000,81324,,0.0,0,,RPRNMLLJMHGGFAP18DA,0.0,0.0,0.0,無,021
斗六市,房地(土地+建物),中華路541~570號,97.0,都市：其他:住宅區,,,1100310,土地1建物1車位0,全,三層,透天厝,住商用,ＲＣ構架造,0701110,194.07,5,2,4,有,無,2425031,12496,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLJMHGGFAP58DA,194.07,0.0,0.0,無,
斗六市,房地(土地+建物),育樂街271~300號,123.17,都市：其他:農業區,,,1071024,土地3建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土造,1090724,204.63,5,2,4,有,無,12450000,60842,,0.0,0,建物基地:497萬7000元整私設道路:60萬元整變電箱:3000元整 主建物部分:678萬元整附屬建物陽台:9萬元整,RPOOMLLJMHGGFAP97DA,196.75,0.0,7.88,無,
斗六市,土地,海豐崙段海豐崙小段721~750地號,1745.0,都市：其他:農業區,,,1091217,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10557000,6050,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLLJMHGGFAP08DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),府文路121~150號,35.8,都市：其他:住宅區,,,1100316,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030904,75.18,2,1,2,有,有,4280000,56930,,0.0,0,,RPTNMLQJMHGGFAP88DA,52.51,0.0,8.03,有,023
斗六市,房地(土地+建物),榮譽路958巷67弄31~60號,70.74,,一般農業區,甲種建築用地,1100309,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880531,107.1,4,2,3,有,無,4200000,39216,,0.0,0,其他增建；,RPOOMLTJLHGGFAP68DA,94.5,0.0,12.6,無,
二崙鄉,土地,荷苞嶼段121~150地號,4285.84,,鄉村區,乙種建築用地,1100208,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20095130,4689,,0.0,0,,RPPNMLLMLHGGFCP38DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),北溪91~120號,619.33,,特定農業區,農牧用地,1100304,土地1建物1車位0,全,一層,透天厝,農舍,磚石造,0630820,83.3,3,1,1,有,無,4400000,52821,,0.0,0,,RPPNMLTKLHGGFDP09DA,83.3,0.0,0.0,無,024
二崙鄉,土地,三和段751~780地號,274.65,,鄉村區,乙種建築用地,1100116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,7282,,0.0,0,未登記建物；,RPPNMLKMLHGGFCP28DA,0.0,0.0,0.0,無,
虎尾鎮,土地,大學段271~300地號,4119.09,都市：其他:住宅區,,,1091130,土地49建物0車位0,,,其他,,,,0.0,0,0,0,有,無,127841652,31036,,0.0,0,,RPUOMLPLLHGGFDP76DA,0.0,0.0,0.0,無,
虎尾鎮,土地,高北段271~300地號,416.23,都市：其他:住宅區,,,1100309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11961450,28738,,0.0,0,,RPROMLLMLHGGFDP78DA,0.0,0.0,0.0,無,025
虎尾鎮,土地,蕃薯段1~30地號,126.67,,鄉村區,乙種建築用地,1100318,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,2368,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLJMHGGFDP28DA,0.0,0.0,0.0,無,
四湖鄉,土地,廣溝段31~60地號,1338.39,,鄉村區,乙種建築用地,1091104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6073000,4538,,0.0,0,,RPVNMLKKLHGGFEP88DA,0.0,0.0,0.0,無,
北港鎮,房地(土地+建物),文仁路441巷1~30號,73.0,都市：其他:住宅區,,,1091018,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691215,94.9,3,2,2,有,無,3500000,36881,,0.0,0,,RPRNMLLJMHGGFEP58DA,86.5,8.4,0.0,無,
斗六市,土地,大北勢段林子頭小段61~90地號,99.0,,鄉村區,乙種建築用地,1100320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1560000,15758,,0.0,0,,RPWNMLLJMHGGFAP78EA,0.0,0.0,0.0,無,
二崙鄉,房地(土地+建物),中山路一段100巷7弄31~60號,102.48,都市：其他:住宅區,,,1100305,土地1建物1車位0,全,三層,透天厝,騎樓、住宅、停車空間,鋼筋混凝土造,1040414,197.32,4,3,3,有,無,6700000,33955,,0.0,0,頂樓加蓋；其他增建；,RPXNMLLJMHGGFCP09EA,191.99,5.33,0.0,無,026
古坑鄉,土地,西華段991~1020地號,64.85,都市：其他:道路用地,,,1100325,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,16191,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；具重建或重劃、都更等效益；,RPSNMLQJMHGGFAP88EA,0.0,0.0,0.0,無,
古坑鄉,土地,田心段841~870地號,121.31,,鄉村區,乙種建築用地,1100323,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,953940,7864,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPWNMLQJMHGGFAP66EA,0.0,0.0,0.0,無,
西螺鎮,土地,興西段841~870地號,142.49,都市：其他:住宅區,,,1100312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6900000,48424,,0.0,0,,RPPNMLQJMHGGFCP78EA,0.0,0.0,0.0,無,
西螺鎮,土地,三塊厝段鹿場小段241~270地號,1642.0,,鄉村區,乙種建築用地,1100315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6980000,4251,,0.0,0,,RPQNMLQJMHGGFCP88EA,0.0,0.0,0.0,無,
